GEOID,Pct_NonWhite,Pct_PublicTrans,Pct_RentBurden,Pct_BelowPov
6037127920,49.4,13.30,62.07,22.2
6037128101,58.8,3.99,58.29,10.7
6037128102,85.3,6.66,55.02,14.3
6037128210,89.3,8.80,65.93,26.1
6037128220,64.9,6.07,60.52,19.2
6037128302,84.3,9.94,64.96,30.6
6037128303,89.5,10.94,67.1,34.1
6037128400,50.1,7.55,56.22,7.8
6037128500,41.6,2.32,52.84,8.5
6037128601,68.7,8.48,51.89,13.8
6037128602,40,3.19,68.47,13.8
6037128703,44.7,4.48,51.07,9.2
6037128704,32.6,2.57,37,7.3
6037128801,43.7,1.00,61.57,11.7
6037128802,51,3.69,52.72,5.9
6037128910,42.4,1.87,47.76,7.6
6037131021,78.1,10.98,64.56,10.5
6037131022,81.4,8.20,62.27,21.5
6037131023,77.8,1.86,63.64,12.4
6037131024,80.9,0.96,39.64,14.3
6037131100,58,0.51,89.42,5.1
6037131200,49.1,1.53,76.7,7.3
6037131300,84.6,2.27,65.22,6.9
6037131400,71.5,1.76,64.78,10.4
6037131600,82.6,1.47,57.04,14
6037131701,75.9,2.53,68.12,21
6037131702,75.2,3.36,85.62,7.3
6037131801,84.6,1.20,61.98,17.7
6037131802,76.7,0.00,59.8,5.4
6037131900,64.1,4.21,28.13,3.9
6037132001,61.7,0.00,59.56,13.7
6037132002,66.5,1.67,58.11,4.9
6037132101,64.8,1.52,61.68,30.9
6037132102,68,3.54,71.06,22.7
6037132301,85.2,8.67,48.33,19.6
6037132302,78.6,6.26,65.67,9.4
6037132501,70.3,0.73,49.64,9.1
6037132502,53.1,0.00,61.16,15.9
6037132700,64.9,4.59,71.93,19.2
6037132900,44.9,0.79,75.79,8.8
6037133000,66.7,0.00,40.72,13.3
6037133101,42,4.98,42,4.4
6037133102,53.9,7.01,65.36,16.5
6037134001,87.6,6.52,66.41,11.1
6037134002,83,6.88,65.49,21.9
6037134101,78.9,0.00,64.85,24.5
6037134103,77.3,4.01,72.62,32.3
6037134104,80.8,4.78,73.59,17.9
6037134201,77.9,2.03,65.04,7.6
6037134302,64.4,3.50,55.84,13.8
6037134303,53.5,1.56,33.33,7.2
6037134304,64,0.00,70.55,13.2
6037134305,93.6,6.05,60.44,16.4
6037134306,81.2,4.99,68.01,13.1
6037134421,39.4,0.58,79.07,3.4
6037134422,45.1,0.61,58.33,5
6037134423,33.9,0.69,75.84,10.7
6037134424,30.8,0.00,70.19,5.3
6037134520,87.4,12.55,62.81,21.6
6037134521,98.5,12.82,62.35,28.4
6037134522,80.9,9.43,58.25,23.3
6037134710,85.7,4.99,72.05,29.9
6037134720,80.6,0.20,62.03,13.2
6037134801,74,0.68,72.79,15.5
6037134802,69.4,0.00,71.76,31.5
6037134901,42.4,3.25,66.35,8.1
6037134904,79.7,9.41,60.96,12.2
6037134905,57.8,2.30,57.93,16.5
6037134906,80.1,2.54,43.8,14.3
6037134907,49.6,4.47,46.44,25.3
6037135102,47.2,1.71,29.55,8.8
6037135111,57.6,3.66,34.24,8.3
6037135113,49,1.65,45.2,14.7
6037135115,70.5,2.05,49.12,5.6
6037135116,35.9,0.00,46.72,17.8
6037135201,35.4,0.98,63,15.1
6037135202,39.7,0.00,62.7,8.8
6037135204,43.7,3.21,59.56,4.4
6037135205,24.2,0.00,45.63,9.1
6037137000,30.7,0.97,44.96,6.9
6037137103,35.1,0.00,64.36,17.7
